n rundy root
7900 164 6447
7900 108 950
7900 113 6798
7900 110 5785
7900 116 3943
7900 103 2275
7900 140 3002
7900 102 6218
7900 120 2538
7900 120 3236
7900 118 4885
7900 108 4538
7900 120 6946
8000 95 3123
8000 103 98
8000 101 6482
8000 94 1213
8000 73 502
8000 84 6919
8000 97 2420
8000 75 1661
8000 71 7191
8000 72 3339
8000 79 7065
8000 81 7998
8000 105 5981
8000 94 7341
8000 86 2304
8000 91 6000
8100 154 2430
8100 108 7115
8100 117 2634
8100 144 6513
8100 160 699
8100 161 7116
8100 123 2496
8100 115 8097
8100 139 6005
8100 130 5530
8100 149 4989
8100 154 2062
8100 99 7616
8100 133 3674
8100 127 3426
8100 119 7889
8200 122 6184
8200 97 5008
8200 105 2806
8200 91 6052
8200 106 4392
8200 123 2703
8200 121 5461
8200 141 6826
8200 116 2939
8200 159 2389
8200 133 3008
8200 93 214
8200 113 5996
8200 110 4683
8200 140 5846
8200 110 1345
8300 100 1755
8300 79 4448
8300 80 7030
8300 81 2541
8300 86 1207
8300 107 6969
8300 84 4880
8300 107 681
8300 86 52
8300 116 3568
8300 112 3282
8300 121 4434
8300 110 3468
8300 111 3986
8300 101 6143
8300 116 5718
8400 92 1310
8400 83 5254
8400 102 3918
8400 104 4843
8400 107 4641
8400 99 1015
8400 101 1326
8400 72 888
8400 109 5983
8400 69 3473
8400 82 5286
8400 86 5186
8400 106 4454
8400 101 1345
8400 83 5508
8400 100 8195
8500 116 349
8500 178 4452
8500 187 4547
8500 175 3370
8500 148 5162
8500 130 7495
8500 147 1954
8500 147 3365
8500 154 7518
8500 167 4818
8500 152 8138
8500 183 5212
8500 180 5207
8500 188 1522
8500 131 6952
8500 116 470
8600 93 4485
8600 100 852
8600 82 7729
8600 73 5568
8600 112 7565
8600 75 7055
8600 97 6750
8600 88 2990
8600 91 3516
8600 74 4290
8600 102 4411
8600 112 6558
8600 68 1258
8600 74 7490
8600 75 7066
8600 93 4825
8700 109 7879
8700 141 7408
8700 86 6801
8700 151 7508
8700 110 7342
8700 154 4595
8700 122 4309
8700 116 7499
8700 111 4353
8700 117 4082
8700 134 2797
8700 98 2482
8700 145 7344
8700 111 36
8700 120 5992
8700 138 7127
8800 131 6052
8800 95 1732
8800 124 4564
8800 106 6926
8800 87 8468
8800 122 355
8800 109 7568
8800 140 1770
8800 93 8667
8800 118 5968
8800 109 968
8800 104 6795
8800 100 4568
8800 116 1826
8800 108 2029
8800 102 7508
8900 103 4403
8900 86 8135
8900 91 459
8900 94 3333
8900 90 8384
8900 87 39
8900 109 7487
8900 111 353
8900 105 3246
8900 107 1543
8900 87 7792
8900 109 4461
8900 96 7314
8900 103 8852
8900 89 5751
8900 110 5188
9000 125 8505
9000 136 1265
9000 101 8937
9000 142 6015
9000 123 1289
9000 130 3028
9000 133 4331
