n rundy root
6300 100 2551
6300 86 342
6300 101 472
6300 97 5114
6300 93 1193
6300 79 327
6300 93 4126
6300 102 1382
6300 113 3965
6300 108 5131
6300 86 6234
6300 87 4653
6300 104 5429
6300 89 3186
6300 95 91
6300 105 2921
6400 99 4798
6400 101 5344
6400 100 1532
6400 88 607
6400 112 5337
6400 97 4942
6400 87 654
6400 144 1113
6400 111 4144
6400 144 6145
6400 149 5327
6400 86 1569
6400 121 5303
6400 118 364
6400 117 3377
6400 93 5138
6500 102 2991
6500 102 4671
6500 93 5016
6500 78 3385
6500 94 2371
6500 97 3501
6500 105 1724
6500 75 6373
6500 95 1946
6500 75 935
6500 78 3526
6500 103 883
6500 76 5476
6500 96 3149
6500 82 5112
6500 88 6384
6600 139 5448
6600 117 2163
6600 103 3156
6600 102 436
6600 97 4785
6600 125 665
6600 148 264
6600 91 737
6600 108 5079
6600 122 4315
6600 115 2526
6600 133 2681
6600 112 5232
6600 143 2773
6600 118 4988
6600 143 1238
6700 113 364
6700 107 3720
6700 105 6295
6700 109 468
6700 118 819
6700 148 4591
6700 113 161
6700 110 321
6700 121 1877
6700 85 3990
6700 107 3654
6700 116 2575
6700 109 3693
6700 116 3715
6700 103 4111
6700 110 2019
6800 111 5825
6800 125 5994
6800 141 6615
6800 113 3092
6800 105 3099
6800 119 436
6800 136 2270
6800 129 3061
6800 127 6104
6800 85 1899
6800 125 2379
6800 131 1463
6800 114 2453
6800 98 4554
6800 98 2103
6800 112 687
6900 121 811
6900 149 291
6900 166 3783
6900 172 5881
6900 159 4522
6900 137 728
6900 125 1436
6900 150 4772
6900 153 3798
6900 176 132
6900 155 4552
6900 103 2529
6900 130 6572
6900 125 2031
6900 128 6815
6900 167 4006
7000 77 973
7000 93 5298
7000 88 466
7000 88 466
7000 91 109
7000 86 3138
7000 107 3589
7000 77 2351
7000 97 2434
7000 93 6202
7000 73 2883
7000 101 5535
7000 88 1970
7000 83 3447
7000 93 1024
7000 92 431
7100 94 1074
7100 87 244
7100 81 6140
7100 103 2389
7100 75 1339
7100 99 4022
7100 78 3649
7100 81 6832
7100 84 4253
7100 94 6676
7100 92 523
7100 106 4137
7100 93 5725
7100 85 6187
7100 105 4473
7100 91 2190
7200 82 1018
7200 84 4442
7200 72 4394
7200 82 4493
7200 78 7131
7200 88 5049
7200 65 6074
7200 100 5212
7200 90 194
7200 74 6535
7200 81 4753
7200 98 2491
7200 92 5672
7200 76 1569
7200 90 4431
7200 78 1014
7300 117 6364
7300 102 1128
7300 117 492
7300 96 6176
7300 114 2147
7300 73 5176
7300 100 3407
7300 130 5361
7300 108 6393
7300 80 2758
7300 118 48
7300 120 943
7300 120 943
7300 89 851
7300 94 494
7300 119 238
7400 107 1547
7400 102 2157
7400 105 7031
7400 94 5232
7400 126 717
7400 99 101
7400 89 5682
7400 119 2266
7400 99 4523
7400 74 2649
7400 133 7156
7400 96 116
7400 93 6493
7400 103 6970
7400 104 687
7400 113 6410
7500 141 2486
7500 93 3447
7500 87 6695
7500 100 6961
7500 93 1993
7500 86 3032
7500 97 3041
7500 136 3336
7500 85 1559
7500 96 1123
7500 109 5521
7500 97 2254
7500 99 414
7500 97 1906
7500 108 661
7500 119 5436
7600 184 6238
7600 169 6434
7600 169 1846
7600 176 4072
7600 167 7438
7600 126 3255
7600 120 1219
7600 127 3242
7600 143 1053
7600 134 123
7600 178 2976
7600 143 3920
7600 125 6906
7600 144 2797
7600 161 4035
7600 139 2882
7700 123 1865
7700 111 6673
7700 100 2479
7700 102 2124
7700 86 3954
7700 101 5691
7700 123 4620
7700 138 3785
7700 113 3733
7700 125 1684
7700 106 6118
7700 123 7431
7700 89 3032
7700 125 2686
7700 122 4696
7700 127 5323
7800 108 6569
7800 111 7375
7800 100 6878
7800 109 2810
7800 111 1648
7800 106 1281
7800 125 7509
7800 94 1590
7800 131 1882
7800 133 293
7800 108 7672
7800 121 3681
7800 93 2665
7800 118 3176
7800 132 1161
7800 92 4451
7900 99 1958
7900 110 1108
7900 90 2685
7900 82 5085
7900 94 3733
7900 99 3539
7900 84 2480
7900 109 1968
7900 75 3990
7900 106 343
7900 123 7494
7900 91 2650
7900 95 5864
7900 94 675
7900 102 2377
7900 112 7292
8000 84 1437
8000 104 6671
8000 133 7241
8000 143 7367
8000 125 1631
8000 139 4846
8000 122 7473
8000 120 4628
8000 132 2640
8000 110 2118
8000 111 4951
8000 119 4552
8000 127 5014
8000 81 4582
8000 95 7291
8000 113 995
8100 99 5777
8100 118 1798
8100 127 3596
8100 116 3679
8100 100 496
8100 128 1116
8100 116 6451
8100 125 3627
8100 144 2530
8100 121 1011
8100 123 8028
8100 141 2538
8100 133 2952
8100 131 4773
8100 118 4852
8100 116 5018
8200 116 2094
8200 110 7627
8200 146 7134
8200 116 5713
8200 120 1181
8200 126 2966
8200 107 1029
8200 133 6171
8200 118 728
8200 138 4677
8200 113 6029
8200 136 682
8200 117 3980
8200 119 5029
8200 135 3596
8200 118 6586
8300 114 6194
8300 97 5259
8300 123 2859
