operation,index,comparisons
getMin,101,4
extractMin,101,19
getMin,102,3
extractMin,102,18
getMin,103,3
extractMin,103,22
getMin,104,2
extractMin,104,7
getMin,105,8
extractMin,105,27
getMin,106,7
extractMin,106,24
getMin,107,7
extractMin,107,24
getMin,108,6
extractMin,108,21
getMin,109,7
extractMin,109,26
getMin,110,6
extractMin,110,21
getMin,111,6
extractMin,111,25
getMin,112,5
extractMin,112,16
getMin,113,7
extractMin,113,20
getMin,114,6
extractMin,114,23
getMin,115,6
extractMin,115,25
getMin,116,5
extractMin,116,10
getMin,117,6
extractMin,117,23
getMin,118,5
extractMin,118,22
getMin,119,5
extractMin,119,16
getMin,120,4
extractMin,120,13
getMin,121,7
extractMin,121,26
getMin,122,6
extractMin,122,23
getMin,123,6
extractMin,123,23
getMin,124,5
extractMin,124,18
getMin,125,6
extractMin,125,25
getMin,126,5
extractMin,126,22
getMin,127,5
extractMin,127,24
getMin,128,4
extractMin,128,17
getMin,129,6
extractMin,129,25
getMin,130,5
extractMin,130,22
getMin,131,5
extractMin,131,24
getMin,132,4
extractMin,132,17
getMin,133,5
extractMin,133,18
getMin,134,4
extractMin,134,19
getMin,135,4
extractMin,135,21
getMin,136,3
extractMin,136,12
getMin,137,7
extractMin,137,26
getMin,138,6
extractMin,138,23
getMin,139,6
extractMin,139,25
getMin,140,5
extractMin,140,20
getMin,141,6
extractMin,141,25
getMin,142,5
extractMin,142,16
getMin,143,5
extractMin,143,24
getMin,144,4
extractMin,144,15
getMin,145,6
extractMin,145,25
getMin,146,5
extractMin,146,22
getMin,147,5
extractMin,147,24
getMin,148,4
extractMin,148,19
getMin,149,5
extractMin,149,24
getMin,150,4
extractMin,150,19
getMin,151,4
extractMin,151,23
getMin,152,3
extractMin,152,8
getMin,153,6
extractMin,153,25
getMin,154,5
extractMin,154,22
getMin,155,5
extractMin,155,22
getMin,156,4
extractMin,156,19
getMin,157,5
extractMin,157,22
getMin,158,4
extractMin,158,21
getMin,159,4
extractMin,159,23
getMin,160,3
extractMin,160,16
getMin,161,5
extractMin,161,24
getMin,162,4
extractMin,162,19
getMin,163,4
extractMin,163,21
getMin,164,3
extractMin,164,18
getMin,165,4
extractMin,165,21
getMin,166,3
extractMin,166,20
getMin,167,3
extractMin,167,22
getMin,168,2
extractMin,168,3
getMin,169,7
extractMin,169,26
getMin,170,6
extractMin,170,13
getMin,171,6
extractMin,171,25
getMin,172,5
extractMin,172,18
getMin,173,6
extractMin,173,25
getMin,174,5
extractMin,174,22
getMin,175,5
extractMin,175,24
getMin,176,4
extractMin,176,17
getMin,177,6
extractMin,177,23
getMin,178,5
extractMin,178,22
getMin,179,5
extractMin,179,24
getMin,180,4
extractMin,180,17
getMin,181,5
extractMin,181,16
getMin,182,4
extractMin,182,21
getMin,183,4
extractMin,183,23
getMin,184,3
extractMin,184,12
getMin,185,6
extractMin,185,25
getMin,186,5
extractMin,186,20
getMin,187,5
extractMin,187,22
getMin,188,4
extractMin,188,19
getMin,189,5
extractMin,189,12
getMin,190,4
extractMin,190,21
getMin,191,4
extractMin,191,21
getMin,192,3
extractMin,192,16
getMin,193,5
extractMin,193,24
getMin,194,4
extractMin,194,21
getMin,195,4
extractMin,195,21
getMin,196,3
extractMin,196,16
getMin,197,4
extractMin,197,23
getMin,198,3
extractMin,198,18
getMin,199,3
extractMin,199,20
getMin,200,2
extractMin,200,11
getMin,201,6
extractMin,201,25
getMin,202,5
extractMin,202,22
getMin,203,5
extractMin,203,24
getMin,204,4
extractMin,204,17
getMin,205,5
extractMin,205,24
getMin,206,4
extractMin,206,21
getMin,207,4
extractMin,207,23
getMin,208,3
extractMin,208,16
getMin,209,5
extractMin,209,24
getMin,210,4
extractMin,210,21
getMin,211,4
extractMin,211,23
getMin,212,3
extractMin,212,18
getMin,213,4
extractMin,213,23
getMin,214,3
extractMin,214,18
getMin,215,3
extractMin,215,22
getMin,216,2
extractMin,216,11
