n,rep_id,kruskal_ms,prim_ms
6100,1,14641.8,1937.6
6100,2,14456.3,2565.79
6100,9,15380.6,2081.94
6100,10,15350.5,2091.33
6100,7,15480.4,1977.71
6100,0,16098.2,2139
6100,5,16189,1660.3
6100,3,15698.9,2457.64
6100,4,15807.4,3551.55
6100,11,16448.4,2647.54
6100,6,16616.7,2978.31
6200,6,14141.6,1974.48
6200,1,14492,1991.9
6200,2,14844.9,2136.2
6200,7,15091.2,2024.12
6200,9,15299.6,2026.82
6200,0,15403.2,2343.61
6200,8,15792.3,2296.4
6200,10,15391.3,3247.88
6200,3,15800.2,2913.75
6200,11,15808.6,3407.26
6200,4,16104.9,2984.99
6200,5,16133.1,3756.89
6300,6,15004.8,2074.28
6300,0,15171,2082.54
6300,7,15159.3,2179.14
6300,1,15150.5,2245.05
6300,8,15795,2346.82
6300,9,15616.4,2357.76
6300,3,15664.3,2630.51
6300,2,15838.9,2679.96
6300,4,16551.4,2850.57
6300,10,16266.9,5928.71
6300,11,16269.4,6636.86
6300,5,16181,7924.03
6400,7,15913.9,2484.57
6400,1,15900.9,2436.26
6400,6,15713.8,2481.4
6400,9,16029.7,2742.14
6400,3,16878.2,2510.05
6400,0,16111.5,3194.2
6400,10,16919.4,1966.17
6400,11,17042.2,3013.53
6400,5,17276.2,3330.08
6400,4,17034.9,3994.47
6400,2,16486.8,5168.24
6400,8,16417.7,5932.56
6500,1,15810.8,2510.56
6500,0,15770.1,2579.17
6500,7,15931,2592.29
6500,2,16538.6,2818.21
6500,6,15963.7,2978.03
6500,8,16613.9,3003.26
6500,3,16696.8,2911.6
6500,9,16818.4,3353.72
6500,11,21260.2,5885.5
6500,5,20833.5,5888.64
6500,10,20174.1,7807.51
6500,4,21346.4,10783
6600,3,16850.7,2373.81
6600,8,17067.9,2336.32
6600,2,17127.6,2397.88
6600,7,16849.4,2804.33
6600,9,17479.2,2873.45
6600,0,16930.9,3615.24
6600,5,17505.2,2438.82
6600,4,17664.9,2199.24
6600,6,16918.4,3829.03
6600,11,17410.7,3829.19
6600,10,17563.5,7555.35
6600,1,21835.1,7635.77
6700,3,16642,2296.77
6700,4,16796.2,2322.3
6700,5,17000.5,2256.97
6700,10,16847,2342.04
6700,9,16724.3,2380.77
6700,11,17157.2,2271.62
6700,0,17163,2256.81
6700,6,17276.9,2231.92
6700,1,20688.2,2664.23
6700,7,21105.9,2774.47
6700,2,21061.4,2965.62
6700,8,20797.7,5538.29
6800,4,18956.9,2588.65
6800,9,18838.5,2561.92
6800,3,19084.9,2546.01
6800,6,19526.5,2610.15
6800,11,19370.7,2619.07
6800,0,19593.1,2662.44
6800,5,19447.5,2754.59
6800,10,20361.8,2384.62
6800,7,20719.2,2359.54
6800,2,20213.8,2377.07
6800,1,21280.7,3207.61
6800,8,21456.1,3967.34
6900,3,18051.7,3158.06
6900,10,18005.4,3083.57
6900,9,18121.2,3203.36
6900,6,18576,2900.98
6900,0,18388.7,3144.11
6900,5,18899,2624.2
6900,2,18930.7,2954.98
6900,4,19294.1,3270.92
6900,11,18919.9,2923.72
6900,7,18988.1,3802.07
6900,1,19372.2,3599.18
6900,8,19256.9,5332.77
7000,10,18460.9,2730.02
7000,6,18300.6,2758.51
7000,3,18512.7,2770.97
7000,4,18862.1,2768.08
7000,11,19117.4,2850.07
7000,0,19091.3,3108.4
7000,9,19211.9,3151.92
7000,5,19570.9,3084.38
7000,7,19705.8,3112.34
7000,2,19094.3,4068.25
7000,8,19744.5,5852.85
7000,1,20032.5,6592.82
7100,9,20185.1,2957.26
7100,10,20126.7,3001.92
7100,4,20087.8,3049.73
7100,3,20220.5,3171.92
7100,11,21401.6,3077.02
7100,6,21791.1,3352.02
7100,0,21435,3773.28
7100,5,21955.5,5013.2
7100,1,30781.5,4517.9
7100,8,32478.7,4916.08
7100,2,32661.7,6462.35
7100,7,32303.8,6669.43
7200,9,20068.4,3090.91
7200,3,20222,3016.05
7200,4,20305.2,3040.68
7200,10,20498.2,3170.54
7200,0,21683,2885.07
7200,6,21684.5,3658.15
7200,5,21607.2,3739.61
7200,11,21749.4,5576.22
7200,8,27290.2,7335.1
7200,1,30721.2,5059.05
7200,2,27622,9457.65
7200,7,27344.3,9094.72
7300,4,20292.6,2751.25
7300,9,20418.1,2728.48
7300,3,20556.4,2787.81
7300,10,20558.4,2730.61
7300,6,21973.7,3308.02
7300,11,21824.6,3498.82
7300,0,21848.9,3783.05
7300,5,21873.6,5199.01
7300,1,23648.7,11991.7
7300,2,26912.5,8563.25
7300,8,27932.4,8685.07
7300,7,27684,12629
7400,1,20608.6,3119.62
7400,8,20576.4,3177.33
7400,7,20622.1,3180.14
7400,2,20844.2,3323.24
7400,3,21706.3,2993.53
7400,10,21688.1,3099.27
7400,4,21607.9,3737.76
7400,9,21527,5581.59
7400,0,23852.9,10576.8
7400,6,28867.2,7586.47
7400,11,29297.7,10461.4
7400,5,28841.7,12842.3
7500,1,20993.7,3221.98
7500,8,21017.1,3258.43
7500,2,21161.7,3284.83
7500,7,21076.2,3541.65
7500,3,22615.7,3093.83
7500,9,22578.6,3254.21
7500,10,22541.3,3739.84
7500,4,22631.6,7060.94
7500,11,24383.7,9912.51
7500,5,25943.5,12921.2
7500,0,26875.8,12869.6
7500,6,29652,14097.1
7600,2,22889.6,3196.55
7600,8,23473.3,3541.28
7600,9,23340,3318.49
7600,3,23346.5,3170.03
7600,4,23585.9,3311.71
7600,1,23329.2,4214.45
7600,11,23740.8,3411.32
7600,10,24068.2,4175.74
7600,0,24432.3,4275.3
7600,7,23631.6,5246.04
7600,6,24635.9,7872.45
7600,5,25025.8,7038.27
7700,7,22832.6,3080.2
7700,1,22764.5,3133.1
7700,8,22803.8,3186.57
7700,2,22853.4,3240.16
7700,9,23909.2,3240.77
7700,10,24037.2,3303.48
7700,4,24167.9,4050.66
7700,6,25035.5,3723.39
7700,3,24069.3,4156.49
7700,11,25343,5581.61
7700,5,25539.6,5791.3
7700,0,26897.3,12663.2
7800,1,23850.3,3322.29
7800,8,23900.8,3334.73
7800,2,23956.4,3386.51
7800,7,24297.2,3357.03
7800,3,25848.5,3386.65
7800,4,26061.7,3531.7
7800,10,25975.3,5155.27
7800,9,26069.4,5856.71
7800,11,39503.4,7834.76
7800,5,37451.8,10212.6
7800,0,39450.2,8345.61
7800,6,39349.2,8757.69
7900,7,23383,3692.55
7900,0,23481.1,3865.52
7900,6,23772.3,3679.74
7900,1,23853.7,3669.17
7900,8,24785.2,3804.07
7900,9,24688.3,3338.71
7900,2,25071.5,4554.4
7900,3,24981.5,5113.53
7900,10,34759.5,7681.7
7900,11,31537.8,12144.6
7900,5,33781,13981.3
7900,4,31772.3,15839.8
8000,7,24982.5,3585.05
8000,0,25019,3575.98
8000,1,25273.2,3791.17
8000,8,25502.4,3777.97
8000,6,26375.1,3594.38
8000,9,26133,4040.22
8000,2,26110.2,5010.23
8000,3,25826.9,6601.01
8000,4,30799,17613.1
8000,5,30929.7,18789.7
8000,11,40392.3,11987.3
8000,10,40859.3,12102.5
8100,7,24453.5,3646.81
8100,0,24629.7,3649.17
8100,2,25427,3932.21
8100,1,25086.3,3644.15
8100,6,25921,3691.9
8100,8,26275.8,3641.18
8100,9,26383.4,3900.55
8100,4,27055.9,4020.89
8100,5,27327.1,4737.95
8100,10,27112.9,5782.38
8100,3,26587.8,7060.52
8100,11,26623.6,7909.76
8200,0,26340.7,3767.2
