-1  25  15  15
 1.664411604  6  2  2  G
 1.723139417  6  3  2  G
 1.752231965  6  4  2  G
 1.811991423  6  5  2  G
 1.863345832  6  5  3  G
 1.880790580  6  6  3  G
 1.920525260  6  6  2  G
 1.970199898  6  7  2  G
 1.989266351  6  7  3  G
 2.007929637  6  7  2  G
 2.032881046  6  6  2  G
 2.050424222  6  5  2  G
 2.095662107  6  5  3  G
 2.112368777  6  5  2  G
 2.150981149  6  6  2  G
 2.172641461  6  6  3  G
 2.219140215  6  7  3  G
 2.232715733  6  7  4  G
 2.291294150  6  6  4  G
 2.335043166  6  7  4  G
 2.365054493  6  6  4  G
 2.385814753  6  6  5  G
 2.436921254  6  5  5  G
 0.001639522  7  0  12  H
 0.023023848  7  1  12  H
 0.045730806  7  2  12  H
 0.063038596  7  2  13  H
 0.083513357  7  1  13  H
 0.095852282  7  1  14  H
 0.123678687  7  1  13  H
 0.136603748  7  2  13  H
 0.187178649  7  1  13  H
 0.242139543  7  0  13  H
 0.274988454  7  0  14  H
 0.303851245  7  0  0  H
 0.326358933  7  1  0  H
 0.372559515  7  1  1  H
 0.406860396  7  0  1  H
 0.421246212  7  1  1  H
 0.470479959  7  1  2  H
 0.519699814  7  1  1  H
 0.545269698  7  1  2  H
 0.559392423  7  1  1  H
 0.588932455  7  1  2  H
 0.648000339  7  1  3  H
 0.681337002  7  0  3  H
 0.713197405  7  0  4  H
 0.746757717  7  14  4  H
 0.802592976  7  14  3  H
 0.833647790  7  14  4  H
 0.855953843  7  0  4  H
 0.881396173  7  0  5  H
 0.917326667  7  1  5  H
 0.931024467  7  0  5  H
 0.985350071  7  1  5  H
 1.030863109  7  2  5  H
 1.067464199  7  1  5  H
 1.122774955  7  0  5  H
 1.137863132  7  14  5  H
 1.192804189  7  14  6  H
 1.243596817  7  14  7  H
 1.295847971  7  13  7  H
 1.351596468  7  12  7  H
 1.376317525  7  12  6  H
 1.404448096  7  12  7  H
 1.427656418  7  12  6  H
 1.485168550  7  12  5  H
 1.520068300  7  11  5  H
 1.577251305  7  11  6  H
 1.604793510  7  10  6  H
 1.653286458  7  10  5  H
 1.672239073  7  11  5  H
 1.696577686  7  10  5  H
 1.751047543  7  11  5  H
 1.804953860  7  10  5  H
 1.841301403  7  10  6  H
 1.868863987  7  9  6  H
 1.920585385  7  10  6  H
 1.975962489  7  11  6  H
 2.024074610  7  11  7  H
 2.051663527  7  11  6  H
