n;min;p
210000;17;0.5
210000;20;0.5
210000;23;0.5
210000;20;0.5
210000;21;0.5
210000;19;0.5
210000;20;0.5
210000;18;0.5
210000;24;0.5
210000;20;0.5
210000;19;0.5
210000;22;0.5
210000;21;0.5
210000;20;0.5
210000;18;0.5
210000;20;0.5
210000;20;0.5
210000;23;0.5
210000;21;0.5
210000;20;0.5
210000;21;0.5
210000;19;0.5
210000;21;0.5
210000;19;0.5
210000;20;0.5
210000;21;0.5
220000;18;0.5
220000;19;0.5
220000;21;0.5
220000;20;0.5
220000;24;0.5
220000;19;0.5
220000;24;0.5
220000;22;0.5
220000;21;0.5
220000;21;0.5
220000;19;0.5
220000;21;0.5
220000;20;0.5
220000;19;0.5
220000;21;0.5
220000;20;0.5
220000;22;0.5
220000;21;0.5
220000;17;0.5
220000;19;0.5
220000;20;0.5
220000;21;0.5
220000;18;0.5
220000;23;0.5
220000;19;0.5
220000;18;0.5
220000;19;0.5
220000;21;0.5
220000;18;0.5
220000;22;0.5
220000;22;0.5
220000;19;0.5
220000;23;0.5
220000;18;0.5
220000;19;0.5
220000;20;0.5
220000;19;0.5
220000;18;0.5
220000;19;0.5
220000;21;0.5
220000;19;0.5
220000;18;0.5
220000;20;0.5
220000;17;0.5
220000;17;0.5
220000;20;0.5
220000;21;0.5
220000;19;0.5
220000;19;0.5
220000;21;0.5
230000;18;0.5
230000;18;0.5
230000;19;0.5
230000;20;0.5
230000;19;0.5
230000;20;0.5
230000;19;0.5
230000;20;0.5
230000;19;0.5
230000;19;0.5
230000;18;0.5
230000;22;0.5
230000;21;0.5
230000;18;0.5
230000;21;0.5
230000;23;0.5
230000;21;0.5
230000;22;0.5
230000;20;0.5
230000;18;0.5
230000;22;0.5
230000;18;0.5
230000;18;0.5
230000;23;0.5
230000;19;0.5
230000;21;0.5
230000;24;0.5
230000;19;0.5
230000;18;0.5
230000;18;0.5
230000;20;0.5
230000;20;0.5
230000;20;0.5
230000;21;0.5
230000;20;0.5
230000;21;0.5
230000;20;0.5
230000;24;0.5
230000;19;0.5
230000;21;0.5
230000;21;0.5
230000;24;0.5
230000;18;0.5
230000;17;0.5
230000;20;0.5
230000;20;0.5
230000;20;0.5
230000;21;0.5
230000;19;0.5
230000;19;0.5
240000;19;0.5
240000;22;0.5
240000;18;0.5
240000;20;0.5
240000;21;0.5
240000;21;0.5
240000;21;0.5
240000;19;0.5
240000;20;0.5
240000;19;0.5
240000;19;0.5
240000;19;0.5
240000;20;0.5
240000;19;0.5
240000;19;0.5
240000;18;0.5
240000;20;0.5
240000;20;0.5
240000;19;0.5
240000;18;0.5
240000;20;0.5
240000;18;0.5
