n;min;p
220000;107;0.1
230000;162;0.1
230000;115;0.1
230000;128;0.1
230000;107;0.1
230000;118;0.1
230000;123;0.1
230000;138;0.1
230000;132;0.1
230000;115;0.1
230000;145;0.1
230000;120;0.1
230000;118;0.1
230000;111;0.1
230000;119;0.1
230000;138;0.1
230000;122;0.1
230000;114;0.1
230000;122;0.1
230000;113;0.1
230000;162;0.1
230000;140;0.1
230000;121;0.1
230000;122;0.1
230000;116;0.1
230000;125;0.1
230000;121;0.1
230000;128;0.1
230000;115;0.1
230000;116;0.1
230000;123;0.1
230000;128;0.1
230000;107;0.1
230000;114;0.1
230000;117;0.1
230000;139;0.1
230000;135;0.1
230000;140;0.1
230000;157;0.1
230000;132;0.1
230000;122;0.1
230000;114;0.1
230000;153;0.1
230000;119;0.1
230000;124;0.1
230000;126;0.1
230000;112;0.1
230000;109;0.1
230000;136;0.1
230000;130;0.1
230000;119;0.1
240000;119;0.1
240000;146;0.1
240000;114;0.1
240000;112;0.1
240000;126;0.1
240000;116;0.1
240000;111;0.1
240000;122;0.1
240000;124;0.1
240000;120;0.1
240000;108;0.1
240000;109;0.1
240000;128;0.1
240000;120;0.1
240000;112;0.1
240000;123;0.1
240000;138;0.1
240000;158;0.1
240000;135;0.1
240000;136;0.1
240000;111;0.1
240000;136;0.1
240000;111;0.1
240000;116;0.1
240000;126;0.1
240000;132;0.1
240000;124;0.1
240000;120;0.1
240000;117;0.1
240000;125;0.1
240000;111;0.1
240000;131;0.1
240000;114;0.1
240000;129;0.1
240000;119;0.1
240000;118;0.1
240000;154;0.1
240000;108;0.1
240000;120;0.1
240000;131;0.1
240000;116;0.1
240000;114;0.1
240000;119;0.1
240000;118;0.1
240000;127;0.1
240000;134;0.1
240000;128;0.1
240000;105;0.1
240000;120;0.1
240000;119;0.1
250000;129;0.1
250000;129;0.1
250000;125;0.1
250000;127;0.1
250000;110;0.1
250000;134;0.1
250000;138;0.1
250000;137;0.1
250000;123;0.1
250000;116;0.1
250000;123;0.1
250000;116;0.1
250000;116;0.1
250000;123;0.1
250000;130;0.1
250000;122;0.1
250000;117;0.1
250000;148;0.1
250000;117;0.1
250000;116;0.1
250000;128;0.1
250000;125;0.1
250000;120;0.1
250000;113;0.1
250000;130;0.1
250000;132;0.1
250000;118;0.1
250000;119;0.1
250000;99;0.1
250000;131;0.1
250000;110;0.1
250000;116;0.1
250000;117;0.1
250000;116;0.1
250000;134;0.1
250000;119;0.1
250000;117;0.1
250000;133;0.1
250000;140;0.1
250000;137;0.1
250000;123;0.1
250000;119;0.1
250000;119;0.1
250000;117;0.1
250000;122;0.1
250000;167;0.1
250000;115;0.1
250000;136;0.1
250000;111;0.1
250000;122;0.1
260000;108;0.1
260000;114;0.1
260000;115;0.1
260000;126;0.1
260000;112;0.1
260000;115;0.1
260000;123;0.1
260000;120;0.1
260000;121;0.1
260000;116;0.1
260000;150;0.1
260000;166;0.1
260000;130;0.1
260000;140;0.1
260000;116;0.1
260000;151;0.1
260000;133;0.1
260000;117;0.1
260000;120;0.1
260000;156;0.1
260000;153;0.1
260000;120;0.1
260000;120;0.1
260000;124;0.1
260000;120;0.1
260000;128;0.1
260000;115;0.1
260000;112;0.1
260000;120;0.1
260000;135;0.1
260000;110;0.1
260000;109;0.1
260000;122;0.1
260000;134;0.1
260000;114;0.1
260000;131;0.1
260000;117;0.1
260000;125;0.1
260000;143;0.1
260000;117;0.1
260000;136;0.1
260000;119;0.1
260000;130;0.1
260000;111;0.1
260000;117;0.1
260000;118;0.1
260000;113;0.1
260000;147;0.1
260000;107;0.1
260000;131;0.1
270000;145;0.1
270000;122;0.1
270000;117;0.1
270000;129;0.1
270000;138;0.1
270000;112;0.1
270000;116;0.1
270000;128;0.1
270000;128;0.1
270000;138;0.1
270000;146;0.1
270000;110;0.1
270000;128;0.1
270000;127;0.1
270000;106;0.1
270000;154;0.1
270000;111;0.1
270000;109;0.1
270000;132;0.1
270000;123;0.1
270000;127;0.1
270000;121;0.1
270000;110;0.1
270000;155;0.1
270000;136;0.1
270000;129;0.1
270000;140;0.1
270000;116;0.1
270000;122;0.1
270000;125;0.1
270000;125;0.1
270000;126;0.1
270000;118;0.1
270000;141;0.1
270000;117;0.1
270000;122;0.1
270000;133;0.1
270000;118;0.1
270000;114;0.1
270000;120;0.1
270000;129;0.1
270000;135;0.1
270000;154;0.1
270000;119;0.1
270000;111;0.1
270000;112;0.1
270000;120;0.1
270000;145;0.1
270000;131;0.1
270000;118;0.1
280000;138;0.1
280000;113;0.1
280000;123;0.1
280000;118;0.1
280000;133;0.1
280000;121;0.1
280000;124;0.1
280000;128;0.1
280000;105;0.1
280000;109;0.1
280000;147;0.1
280000;125;0.1
280000;120;0.1
280000;117;0.1
280000;136;0.1
280000;131;0.1
280000;118;0.1
280000;118;0.1
280000;127;0.1
280000;117;0.1
280000;126;0.1
280000;134;0.1
280000;131;0.1
280000;124;0.1
280000;126;0.1
280000;116;0.1
280000;115;0.1
280000;116;0.1
280000;120;0.1
280000;143;0.1
280000;149;0.1
280000;109;0.1
280000;128;0.1
280000;118;0.1
280000;128;0.1
280000;131;0.1
280000;121;0.1
280000;126;0.1
280000;118;0.1
280000;132;0.1
280000;123;0.1
280000;124;0.1
280000;118;0.1
280000;123;0.1
280000;113;0.1
280000;129;0.1
280000;136;0.1
280000;114;0.1
280000;114;0.1
280000;112;0.1
290000;138;0.1
290000;115;0.1
290000;125;0.1
290000;115;0.1
290000;118;0.1
290000;109;0.1
290000;118;0.1
290000;155;0.1
290000;122;0.1
290000;147;0.1
290000;123;0.1
290000;120;0.1
290000;108;0.1
290000;127;0.1
290000;124;0.1
290000;118;0.1
290000;116;0.1
290000;135;0.1
290000;139;0.1
290000;128;0.1
290000;137;0.1
290000;123;0.1
290000;117;0.1
290000;126;0.1
290000;126;0.1
290000;133;0.1
290000;120;0.1
290000;144;0.1
290000;128;0.1
290000;119;0.1
290000;122;0.1
290000;131;0.1
290000;124;0.1
290000;130;0.1
290000;111;0.1
290000;125;0.1
290000;128;0.1
290000;117;0.1
290000;112;0.1
290000;119;0.1
290000;128;0.1
290000;113;0.1
290000;119;0.1
290000;115;0.1
290000;154;0.1
290000;116;0.1
290000;140;0.1
290000;119;0.1
290000;118;0.1
290000;121;0.1
300000;135;0.1
300000;122;0.1
300000;116;0.1
300000;123;0.1
300000;122;0.1
300000;117;0.1
300000;124;0.1
300000;113;0.1
300000;123;0.1
300000;123;0.1
300000;122;0.1
300000;125;0.1
300000;141;0.1
300000;119;0.1
300000;140;0.1
300000;126;0.1
300000;134;0.1
300000;117;0.1
300000;106;0.1
300000;136;0.1
300000;113;0.1
300000;133;0.1
300000;120;0.1
300000;116;0.1
300000;120;0.1
